103-0,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
140-0,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-1,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-2,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-3,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
140-4,BIOLOGÍA,81,BIÓLOGO,LICENCIATURA,A,1
153-0,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
153-1,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
153-1,INGENIERÍA AGRONÓMICA,933,TÉCNICO SUPERIOR EN AGROPECUARIA,TECNICO SUPERIOR,A,1
153-1,INGENIERÍA AGRONÓMICA,156,TÉCNICO UNIVERSITARIO SUPERIOR EN AGROPECUARIA,TECNICO SUPERIOR,A,1
153-2,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
153-3,INGENIERÍA AGRONÓMICA,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,1
154-0,INGENIERÍA AGRÍCOLA,172,INGENIERO AGRÍCOLA,LICENCIATURA,A,1
154-1,INGENIERÍA AGRÍCOLA,172,INGENIERO AGRÍCOLA,LICENCIATURA,A,1
170-0,INGENIERÍA FORESTAL,37,INGENIERO FORESTAL,LICENCIATURA,A,1
170-1,INGENIERÍA FORESTAL,37,INGENIERO FORESTAL,LICENCIATURA,A,1
170-2,INGENIERÍA FORESTAL,37,INGENIERO FORESTAL,LICENCIATURA,A,1
171-0,CIENCIAS AMBIENTALES,444,LICENCIADO EN CIENCIAS AMBIENTALES,LICENCIATURA,A,1
171-1,CIENCIAS AMBIENTALES,1243,VETERINARIO ZOOTECNISTA,LICENCIATURA,A,1
171-1,CIENCIAS AMBIENTALES,1245,TÉCNICO SUPERIOR MONITOR AMBIENTAL,TECNICO SUPERIOR,A,1
171-1,CIENCIAS AMBIENTALES,444,LICENCIADO EN CIENCIAS AMBIENTALES,LICENCIATURA,A,1
171-1,CIENCIAS AMBIENTALES,1246,AMBIENTÓLOGO,LICENCIATURA,A,1
239-1,AGROPECUARIA,184,INGENIERO AGROPECUARIO,LICENCIATURA,A,1
239-1,AGROPECUARIA,156,TÉCNICO UNIVERSITARIO SUPERIOR EN AGROPECUARIA,TECNICO SUPERIOR,A,1
105-0,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-0,CONTADURÍA PÚBLICA,128,AUDITOR FINANCIERO,LICENCIATURA,A,2
105-0,CONTADURÍA PÚBLICA,83,CONTADOR PÚBLICO AUTORIZADO,LICENCIATURA,A,2
105-1,CONTADURÍA PÚBLICA,83,CONTADOR PÚBLICO AUTORIZADO,LICENCIATURA,A,2
105-1,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-1,CONTADURÍA PÚBLICA,128,AUDITOR FINANCIERO,LICENCIATURA,A,2
105-4,CONTADURÍA PÚBLICA,83,CONTADOR PÚBLICO AUTORIZADO,LICENCIATURA,A,2
105-4,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-4,CONTADURÍA PÚBLICA,128,AUDITOR FINANCIERO,LICENCIATURA,B,2
105-5,CONTADURÍA PÚBLICA,1540,TÉCNICO SUPERIOR EN CONTABILIDAD GENERAL,TECNICO SUPERIOR,A,2
105-5,CONTADURÍA PÚBLICA,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,2
105-5,CONTADURÍA PÚBLICA,1253,TÉCNICO MEDIO - AUXILIAR CONTABLE,TECNICO MEDIO,A,2
105-5,CONTADURÍA PÚBLICA,83,CONTADOR PÚBLICO AUTORIZADO,LICENCIATURA,A,2
109-1,INFORMACIÓN Y CONTROL DE GESTIÓN,257,LICENCIADO EN INFORMACIÓN Y CONTROL DE GESTIÓN,LICENCIATURA,A,2
129-1,MEDICINA,105,MÉDICO CIRUJANO,LICENCIATURA,A,3
131-0,ENFERMERÍA,104,LICENCIADO EN ENFERMERÍA,LICENCIATURA,A,3
131-1,ENFERMERÍA,104,LICENCIADO EN ENFERMERÍA,LICENCIATURA,A,3
131-2,ENFERMERÍA,104,LICENCIADO EN ENFERMERÍA,LICENCIATURA,A,3
131-3,ENFERMERÍA,104,LICENCIADO EN ENFERMERÍA,LICENCIATURA,A,3
131-N,CURSO NIVELACIÓN ENFERMERÍA,104,LICENCIADO EN ENFERMERÍA,LICENCIATURA,A,3
431-0,AUXILIAR EN ENFERMERÍA,263,AUXILIAR DE ENFERMERÍA,TECNICO MEDIO,A,3
104-1,ARQUITECTURA,186,ARQUITECTO,LICENCIATURA,A,4
104-2,ARQUITECTURA,186,ARQUITECTO,LICENCIATURA,A,4
191-1,ARTE,221,LICENCIADO EN ARTE,LICENCIATURA,A,4
191-2,ARTE,221,LICENCIADO EN ARTE,LICENCIATURA,A,4
192-1,DISEÑO INTEGRAL,188,LICENCIADO EN DISEÑO INTEGRAL,LICENCIATURA,A,4
192-2,DISEÑO INTEGRAL,188,LICENCIADO EN DISEÑO INTEGRAL,LICENCIATURA,A,4
193-1,PLANIFICACIÓN TERRITORIAL,206,PLANIFICADOR TERRITORIAL,LICENCIATURA,A,4
193-2,PLANIFICACIÓN TERRITORIAL,206,PLANIFICADOR TERRITORIAL,LICENCIATURA,A,4
101-0,ADMINISTRACIÓN DE EMPRESAS,89,ADMINISTRADOR DE EMPRESAS,LICENCIATURA,A,5
101-1,ADMINISTRACIÓN DE EMPRESAS,89,ADMINISTRADOR DE EMPRESAS,LICENCIATURA,A,5
101-1,ADMINISTRACIÓN DE EMPRESAS,1769,LICENCIADO EN ADMINISTRACIÓN DE EMPRESAS,LICENCIATURA,A,5
101-4,ADMINISTRACIÓN DE EMPRESAS,89,ADMINISTRADOR DE EMPRESAS,LICENCIATURA,A,5
101-4,ADMINISTRACIÓN DE EMPRESAS,1313,TÉCNICO MEDIO EN ADMINISTRACIÓN DE EMPRESAS,TECNICO MEDIO,A,5
101-4,ADMINISTRACIÓN DE EMPRESAS,91,TÉCNICO SUPERIOR EN ADMINISTRACIÓN DE EMPRESAS,TECNICO SUPERIOR,A,5
102-1,INGENIERÍA COMERCIAL,92,INGENIERO COMERCIAL,LICENCIATURA,A,5
102-4,INGENIERÍA COMERCIAL,92,INGENIERO COMERCIAL,LICENCIATURA,A,5
102-4,INGENIERÍA COMERCIAL,1764,TÉCNICO SUPERIOR EN INGENIERIA COMERCIAL ANALISTA ADMINISTRATIVO Y FINANCIERO,TECNICO SUPERIOR,A,5
105-2,AUDITORÍA FINANCIERA,128,AUDITOR FINANCIERO,LICENCIATURA,A,5
105-3,AUDITORÍA FINANCIERA,128,AUDITOR FINANCIERO,LICENCIATURA,A,5
108-0,ECONOMÍA,80,ECONOMISTA,LICENCIATURA,A,5
108-0,ECONOMÍA,200,TÉCNICO SUPERIOR EN ESTADÍSTICA,TECNICO SUPERIOR,A,5
108-1,ECONOMÍA,80,ECONOMISTA,LICENCIATURA,A,5
108-1,ECONOMÍA,200,TÉCNICO SUPERIOR EN ESTADÍSTICA,TECNICO SUPERIOR,A,5
108-4,ECONOMÍA,80,ECONOMISTA,LICENCIATURA,A,5
108-4,ECONOMÍA,200,TÉCNICO SUPERIOR EN ESTADÍSTICA,TECNICO SUPERIOR,A,5
108-5,ECONOMÍA,80,ECONOMISTA,LICENCIATURA,A,5
108-5,ECONOMÍA,637,TÉCNICO UNIVERSITARIO SUPERIOR EN ESTADÍSTICAS ECONÓMICAS,TECNICO SUPERIOR,A,5
108-5,ECONOMÍA,1513,TÉCNICO UNIVERSITARIO MEDIO EN TÉCNICAS DE ESTADÍSTICA DESCRIPTIVA,TECNICO MEDIO,A,5
144-0,INGENIERÍA FINANCIERA,1507,TÉCNICO SUPERIOR ANALISTA EN OPERACIONES Y FINANZAS BANCARIAS,TECNICO SUPERIOR,A,5
144-0,INGENIERÍA FINANCIERA,207,INGENIERO FINANCIERO,LICENCIATURA,A,5
144-0,INGENIERÍA FINANCIERA,1721,TÉCNICO SUPERIOR ANALISTA EN OPERACIONES Y FINANZAS BANCARIAS,TECNICO SUPERIOR,A,5
152-0,COMERCIO INTERNACIONAL,1218,GESTOR ADUANERO EN COMERCIO INTERNACIONAL,TECNICO SUPERIOR,A,5
152-0,COMERCIO INTERNACIONAL,1216,GESTOR ADMINISTRATIVO DEL COMERCIO INTERNACIONAL,TECNICO MEDIO,A,5
152-0,COMERCIO INTERNACIONAL,1220,LICENCIADO EN COMERCIO INTERNACIONAL,LICENCIATURA,A,5
233-0,CONTABILIDAD,85,CONTADOR GENERAL,TECNICO SUPERIOR,A,5
117-0,INGENIERÍA CIVIL,106,INGENIERO CIVIL,LICENCIATURA,A,6
117-1,INGENIERÍA CIVIL,106,INGENIERO CIVIL,LICENCIATURA,A,6
117-2,INGENIERÍA CIVIL,106,INGENIERO CIVIL,LICENCIATURA,A,6
117-Z,INGENIERÍA CIVIL,106,INGENIERO CIVIL,LICENCIATURA,A,6
118-0,INGENIERÍA ELECTROMECÁNICA,107,INGENIERO ELECTROMECÁNICO,LICENCIATURA,A,6
118-1,INGENIERÍA ELECTROMECÁNICA,107,INGENIERO ELECTROMECÁNICO,LICENCIATURA,A,6
118-2,INGENIERÍA ELECTROMECÁNICA,107,INGENIERO ELECTROMECÁNICO,LICENCIATURA,A,6
118-3,INGENIERÍA ELECTROMECÁNICA,107,INGENIERO ELECTROMECÁNICO,LICENCIATURA,A,6
118-4,INGENIERÍA ELECTROMECÁNICA,107,INGENIERO ELECTROMECÁNICO,LICENCIATURA,A,6
118-5,INGENIERÍA ELECTROMECÁNICA,107,INGENIERO ELECTROMECÁNICO,LICENCIATURA,A,6
118-6,INGENIERÍA ELÉCTRICA,1422,INGENIERO ELÉCTRICO,LICENCIATURA,A,6
118-7,INGENIERÍA ELECTRÓNICA,1424,INGENIERO ELECTRÓNICO,LICENCIATURA,A,6
118-8,INGENIERÍA MECÁNICA,1344,INGENIERO MECÁNICO,LICENCIATURA,A,6
121-0,INGENIERÍA INDUSTRIAL,108,INGENIERO INDUSTRIAL,LICENCIATURA,A,6
121-1,INGENIERÍA INDUSTRIAL,108,INGENIERO INDUSTRIAL,LICENCIATURA,A,6
122-0,INGENIERÍA INDUSTRIAL,108,INGENIERO INDUSTRIAL,LICENCIATURA,A,6
122-1,INGENIERÍA INDUSTRIAL,108,INGENIERO INDUSTRIAL,LICENCIATURA,A,6
122-2,INGENIERÍA INDUSTRIAL,108,INGENIERO INDUSTRIAL,LICENCIATURA,A,6
125-0,INGENIERÍA PETROLERA,113,INGENIERO PETROLERO,LICENCIATURA,A,6
125-1,INGENIERÍA PETROLERA,113,INGENIERO PETROLERO,LICENCIATURA,A,6
125-2,INGENIERÍA PETROLERA,113,INGENIERO PETROLERO,LICENCIATURA,A,6
125-2,INGENIERÍA PETROLERA,240,TÉCNICO SUPERIOR EN PETRÓLEO,TECNICO SUPERIOR,A,6
125-Z,INGENIERÍA PETROLERA,113,INGENIERO PETROLERO,LICENCIATURA,A,6
126-0,INGENIERÍA QUÍMICA,109,INGENIERO QUÍMICO,LICENCIATURA,A,6
127-0,INGENIERÍA QUÍMICA,109,INGENIERO QUÍMICO,LICENCIATURA,A,6
127-1,INGENIERÍA QUÍMICA,109,INGENIERO QUÍMICO,LICENCIATURA,A,6
127-1,INGENIERÍA QUÍMICA,210,QUÍMICO INDUSTRIAL TÉCNICO SUPERIOR,TECNICO SUPERIOR,A,6
127-1,INGENIERÍA QUÍMICA,130,QUÍMICO INDUSTRIAL,TECNICO SUPERIOR,B,6
127-2,INGENIERÍA QUÍMICA,448,ANALISTA QUÍMICO,TECNICO SUPERIOR,A,6
127-2,INGENIERÍA QUÍMICA,109,INGENIERO QUÍMICO,LICENCIATURA,A,6
127-3,INGENIERÍA QUÍMICA,109,INGENIERO QUÍMICO,LICENCIATURA,A,6
127-3,INGENIERÍA QUÍMICA,1292,TÉCNICO SUPERIOR EN ANÁLISIS QUÍMICO,TECNICO SUPERIOR,A,6
141-0,INGENIERÍA DE ALIMENTOS,110,INGENIERO DE ALIMENTOS,LICENCIATURA,A,6
141-1,INGENIERÍA DE ALIMENTOS,110,INGENIERO DE ALIMENTOS,LICENCIATURA,A,6
141-2,INGENIERÍA DE ALIMENTOS,245,TÉCNICO UNIVERSITARIO SUPERIOR EN ALIMENTOS,TECNICO SUPERIOR,A,6
141-2,INGENIERÍA DE ALIMENTOS,110,INGENIERO DE ALIMENTOS,LICENCIATURA,A,6
142-0,INGENIERÍA AMBIENTAL,213,INGENIERO AMBIENTAL,LICENCIATURA,A,6
142-1,INGENIERÍA AMBIENTAL,213,INGENIERO AMBIENTAL,LICENCIATURA,A,6
142-1,INGENIERÍA AMBIENTAL,1509,TÉCNICO UNIVERSITARIO SUPERIOR EN MEDIO AMBIENTE,TECNICO SUPERIOR,A,6
217-0,TECNOLOGÍA DE ALIMENTOS,115,TÉCNICO SUPERIOR EN TECNOLOGÍA DE ALIMENTOS,TECNICO SUPERIOR,A,6
217-1,TECNOLOGÍA DE ALIMENTOS,115,TÉCNICO SUPERIOR EN TECNOLOGÍA DE ALIMENTOS,TECNICO SUPERIOR,A,6
217-Z,TECNOLOGÍA DE ALIMENTOS,115,TÉCNICO SUPERIOR EN TECNOLOGÍA DE ALIMENTOS,TECNICO SUPERIOR,A,6
227-0,QUÍMICA INDUSTRIAL,130,QUÍMICO INDUSTRIAL,TECNICO SUPERIOR,A,6
227-1,QUÍMICA INDUSTRIAL,130,QUÍMICO INDUSTRIAL,TECNICO SUPERIOR,A,6
227-2,QUÍMICA INDUSTRIAL,130,QUÍMICO INDUSTRIAL,TECNICO SUPERIOR,A,6
227-4,INGENIERÍA DE CONTROL DE PROCESOS,1409,TÉCNICO UNIVERSITARIO SUPERIOR EN QUÍMICA INDUSTRIAL,TECNICO SUPERIOR,A,6
227-4,INGENIERÍA DE CONTROL DE PROCESOS,197,INGENIERO EN CONTROL DE PROCESOS,LICENCIATURA,A,6
227-5,INGENIERÍA DE CONTROL DE PROCESOS,197,INGENIERO EN CONTROL DE PROCESOS,LICENCIATURA,A,6
227-5,INGENIERÍA DE CONTROL DE PROCESOS,1286,TÉCNICO UNIVERSITARIO SUPERIOR EN QUÍMICA INDUSTRIAL,TECNICO SUPERIOR,A,6
227-X,QUÍMICA INDUSTRIAL,130,QUÍMICO INDUSTRIAL,TECNICO SUPERIOR,A,6
227-Y,QUÍMICA INDUSTRIAL,130,QUÍMICO INDUSTRIAL,TECNICO SUPERIOR,A,6
106-0,BIOQUÍMICA,102,BIOQUÍMICO,LICENCIATURA,A,7
106-1,BIOQUÍMICA,102,BIOQUÍMICO,LICENCIATURA,A,7
130-0,BIOQUÍMICA FARMACIA (FARMACIA),103,FARMACEUTICO,LICENCIATURA,A,7
130-1,BIOQUÍMICA Y FARMACIA (BIOQUÍMICA),102,BIOQUÍMICO,LICENCIATURA,A,7
130-2,FARMACIA,103,FARMACEUTICO,LICENCIATURA,A,7
107-0,DERECHO,116,ABOGADO,LICENCIATURA,A,8
107-1,DERECHO,116,ABOGADO,LICENCIATURA,A,8
150-1,RELACIONES INTERNACIONALES,260,LICENCIADO EN RELACIONES INTERNACIONALES,LICENCIATURA,A,8
156-1,CIENCIAS POLÍTICAS,33,INGENIERO AGRÓNOMO,LICENCIATURA,A,8
156-1,CIENCIAS POLÍTICAS,117,POLITÓLOGO,LICENCIATURA,A,8
156-2,CIENCIA POLÍTICA Y ADMINISTRACION,117,POLITÓLOGO,LICENCIATURA,A,8
156-3,CIENCIA POLÍTICA Y ADMINISTRACION,117,POLITÓLOGO,LICENCIATURA,A,8
157-0,DERECHO,116,ABOGADO,LICENCIATURA,A,8
157-1,DERECHO,116,ABOGADO,LICENCIATURA,A,8
157-1,DERECHO,1593,TECNICO SUPERIOR GESTOR JURIDICO,LICENCIATURA,A,8
159-1,TRABAJO SOCIAL,118,TRABAJADOR SOCIAL,LICENCIATURA,A,8
159-2,TRABAJO SOCIAL,118,TRABAJADOR SOCIAL,LICENCIATURA,A,8
139-0,VETERINARIA Y ZOOTECNIA,142,MEDICO VETERINARIO ZOOTECNISTA,LICENCIATURA,A,9
139-1,VETERINARIA Y ZOOTECNIA,142,MEDICO VETERINARIO ZOOTECNISTA,LICENCIATURA,A,9
139-2,VETERINARIA Y ZOOTECNIA,142,MEDICO VETERINARIO ZOOTECNISTA,LICENCIATURA,A,9
139-3,MEDICINA VETERINARIA Y ZOOTECNIA,142,MEDICO VETERINARIO ZOOTECNISTA,LICENCIATURA,A,9
143-0,ZOOTECNIA,203,ZOOTECNISTA,LICENCIATURA,A,9
239-0,AGROPECUARIA,156,TÉCNICO UNIVERSITARIO SUPERIOR EN AGROPECUARIA,TECNICO SUPERIOR,A,9
4027-0,EDUCACION SUPERIOR EN SALUD,231,TÉCNICO SUPERIOR PROFESOR DE CURSO DE PRIMER Y SEGUNDO CICLO DEL NIVEL PRIMARIO,TECNICO SUPERIOR,A,10
5002-0,CIENCIAS DE LA EDUCACION,172,INGENIERO AGRÍCOLA,LICENCIATURA,A,10
5018-0,INVESTIGACION EN CIENCIAS E,89,ADMINISTRADOR DE EMPRESAS,LICENCIATURA,A,10
145-0,CIENCIAS DE LA EDUCACIÓN,137,ADMINISTRADOR EDUCATIVO,LICENCIATURA,A,11
145-0,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-0,CIENCIAS DE LA EDUCACIÓN,154,PEDAGOGO,LICENCIATURA,A,11
145-1,CIENCIAS EDUCACIÓN-URBANO-C,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-1,CIENCIAS EDUCACIÓN-URBANO-C,154,PEDAGOGO,LICENCIATURA,A,11
145-2,CIENCIAS EDUCACIÓN-URBANO-P,154,PEDAGOGO,LICENCIATURA,A,11
145-2,CIENCIAS EDUCACIÓN-URBANO-P,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-2,CIENCIAS EDUCACIÓN-URBANO-P,135,LICENCIADO EN EDUCACIÓN PRIMARIA,LICENCIATURA,A,11
145-2,CIENCIAS EDUCACIÓN-URBANO-P,124,LICENCIADO EN EDUCACIÓN URBANO-PRIMARIA,LICENCIATURA,A,11
145-3,CIENCIAS EDUCACIÓN-RURAL-P,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-3,CIENCIAS EDUCACIÓN-RURAL-P,154,PEDAGOGO,LICENCIATURA,A,11
145-4,CIENCIAS DE LA EDUCACIÓN,154,PEDAGOGO,LICENCIATURA,A,11
145-4,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,135,LICENCIADO EN EDUCACIÓN PRIMARIA,LICENCIATURA,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,1311,TÉCNICO SUPERIOR EN EDUCACIÓN,TECNICO SUPERIOR,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,137,ADMINISTRADOR EDUCATIVO,LICENCIATURA,A,11
145-6,EDUCACIÓN PRIMARIA,135,LICENCIADO EN EDUCACIÓN PRIMARIA,LICENCIATURA,A,11
